City,Departure_Date,Return_Date,Picture_Path,Price,Num_Stops,Duration_Hours,Duration_Minutes,Lodging_Cost,Description
Cusco,Mar 24,Mar 30,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQGw3TN1DnV-Rsfx09a8OFzWvZ0xRVmPF1D3go0sQaLuC-Mvvflzb995BTTzxtKWdM2kmBx9PhRpYR5BOKhc0yREfEouVVVn3SKLeOdAzE,524,2,15,2,45,"Cusco, often spelled Cuzco[a] ([ˈkusko]; Quechua: Qusqu ([ˈqɔsqɔ])), is a city in southeastern Peru near the Urubamba Valley of the Andes mountain range. It is the capital of the Cusco Region and of the Cusco Province. The city is the seventh most populous in Peru and, in 2017, had a population of 428,450. Its elevation is around 3,400 m (11,200 ft).
"
Cartagena,Mar 14,Mar 23,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSFr2BHSB4zLlnTUyGOvlmF36tbmf5SZmc-T3BPSYKuHlh4FohcQhnD8kT-LsBWqPzg_e-mPQbsX8npaTCobP9SaE_XrAH_B5ixwuuvPOM,251,1,12,41,53,"Cartagena or Carthagena may refer to:
"
São Paulo,Feb 5,Feb 11,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTiMuZ6bzPypYskx2wKeajP4899H0ZwM3zVncDIg3ndU6QL6CFOmi1q9Cr_9wJmxRrM-RD1E3p9aAjATS3ypXDiDwyok5uYYQdQE9ri4n0,539,2,27,5,38,"São Paulo (/ˌsaʊ ˈpaʊloʊ/, Portuguese: [sɐ̃w̃ ˈpawlu] (listen); Portuguese for 'Saint Paul') is a city in the Southeast Region of Brazil. Listed by the GaWC as an alpha global city, the municipality of São Paulo is the most populous city proper in Brazil, the Americas, the Western Hemisphere and the Southern Hemisphere, as well as the world's 4th largest city proper by population. Additionally, São Paulo is the largest Portuguese-speaking city in the world. The city serves the capital of the surrounding state of São Paulo, the most populous and wealthiest state in Brazil. It exerts strong international influences in commerce, finance, arts and entertainment.[7] The city's name honors the Apostle, Saint Paul of Tarsus. The city's metropolitan area, the Greater São Paulo, ranks as the most populous in Brazil and the 12th most populous on Earth. The process of conurbation between the metropolitan areas around the Greater São Paulo (Campinas, Santos, Jundiaí, Sorocaba and São José dos Campos) created the São Paulo Macrometropolis,[8] a megalopolis with more than 30 million inhabitants, one of the most populous urban agglomerations in the world.[9]
"
Bogotá,Feb 14,Feb 20,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRGMs7eY_pzJzqYnG_VUmSo5I-rERyngmvqFrFUopXnPARJb9LqdE6_3g7oznuLGkfAOqAzZFtheRzi20fF-ux3yBmA7y1_WCAtD6yC36s,249,1,13,16,31,"""La Ciudad de Todos""(""The City of Everyone"")
"
Santiago,Feb 4,Feb 11,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSKFzgro3tDXecsJ-N4dPmjovAlPcO-uYXmUUAbCooq68THNxHM2n-9I-TICudtNxU5GDvHC96PbveRIPNqLASrqugwLY6jQ8ulFd2xjDo,505,1,13,29,63,"
"
Curaçao,Mar 7,Mar 14,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSicqPNXgx9ymo6LfkoUJB_TN8Jw54vXLdNqGdCraL0KfZ1MiRZknaI_9O9KMIKh01twgxjK58lft6wgKfUEC5zn-uZzqjVXesQJ4WBhr0,377,1,13,51,98,"Curaçao (/ˈkjʊərəsoʊ, -saʊ, ˌkjʊərəˈsoʊ, -ˈsaʊ/ KURE-əss-oh, -⁠ow, -⁠OH, -⁠OW;[8] Dutch: [kyraːˈsʌu, kur-] (listen);[9] Papiamento: Kòrsou, [ˈkɔrsɔu̯]) is a Lesser Antilles island country in the southern Caribbean Sea and the Dutch Caribbean region, about 65 km (40 mi) north of the Venezuelan coast. It is a constituent country (Dutch: land) of the Kingdom of the Netherlands.[10] Together with Aruba and Bonaire it forms the ABC islands. Collectively, Curaçao, Aruba and other Dutch islands in the Caribbean are often called the Dutch Caribbean.
"
Quito,Feb 3,Feb 10,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSovrI-nXd8CKxtkrm_qyxp5hPWu9-9wTQsLzPMhsZYgr8ZGyRLirVkgMUuAIGyjdsfFtUAwVK4UsHBVmQxX3X65sl1YB7Ok_UhlcAOvME,325,1,14,5,52,"In 2008, the city was designated as the headquarters of the Union of South American Nations.[4]
"
Medellín,Mar 13,Mar 22,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQecctp1P5PlCaJMqovZLjQh3RY2LDXqkyQUKefGY6MPeJDJcuAyK5eXJ7mm4rM5HbXsMqz6jg75YY4R7O16nvhlYBCQZnFtpUicS_gG_Y,238,1,13,39,31,"In 1616 the Spaniard Francisco Herrera Campuzano erected a small indigenous village (""poblado"") known as ""Saint Lawrence of Aburrá"" (San Lorenzo de Aburrá), located in the present-day El Poblado commune. On 2 November 1675, the queen consort Mariana of Austria founded the ""Town of Our Lady of Candelaria of Medellín"" (Villa de Nuestra Señora de la Candelaria de Medellín) in the Aná region, which today corresponds to the center of the city (east-central zone) and first describes the region as ""Medellín"". In 1826, the city was named the capital of the Department of Antioquia by the National Congress of the nascent Republic of Gran Colombia, comprised by present-day Colombia, Venezuela, Ecuador, and Panama. After Colombia won its independence from Spain, Medellín became the capital of the Federal State of Antioquia until 1888, with the proclamation of the Colombian Constitution of 1886. During the 19th century, Medellín was a dynamic commercial center, first exporting gold, then producing and exporting coffee.
"
Torres del Paine National Park,Mar 19,Mar 25,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQKdR7zq0QpwPPXHWPnBANe3DWvq_lUvrh1vpIBkre5lI3l9my_oIxdUxPl4mBrZLbaPkORp3bOQSMoVZIb1LRe0lPCJlZpl462ZxFr2do,731,2,15,40,312,"Torres del Paine National Park (Spanish: Parque Nacional Torres del Paine)[3] is a national park encompassing mountains, glaciers, lakes, and rivers in southern Chilean Patagonia. The Cordillera del Paine is the centerpiece of the park. It lies in a transition area between the Magellanic subpolar forests and the Patagonian Steppes. The park is located 112 km (70 mi) north of Puerto Natales and 312 km (194 mi) north of Punta Arenas. The park borders Bernardo O'Higgins National Park to the west and the Los Glaciares National Park to the north in Argentine territory.  Paine means ""blue"" in the native Tehuelche (Aonikenk) language and is pronounced PIE-nay, while Torres means ""towers"".[4]
"
Uyuni Salt Flat,Feb 12,Feb 18,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQwAFxMTX7vWIe8ptVz4y8rsuJbQqe7rHiAr2zofEM3eZTSyIbsvWbSlxhokAgctZlTE0fzmUMCpbMyfXR5x-Lh9DbYeNTKuB07wZOEzGY,"6,023",4,53,21,107,"Salar de Uyuni (or ""Salar de Tunupa"")[1] is the world's largest salt flat, or playa, at over 10,000 square kilometres (3,900 sq mi) in area.[2] It is in the Daniel Campos Province in Potosí in southwest Bolivia, near the crest of the Andes at an elevation of 3,656 m (11,995 ft) above sea level.[3]
"
Lake Titicaca,May 12,May 18,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTbjBR7biFWP-PmT3QIPYE4c3KXoQNf7xDIc5CtO6R4FKkuV9VbPn3sk400edTpOaXAfnkqmrKnTX5tNwn9_alHULhm_qvPiUBVOeSVrfg,639,1,27,15,49,"Lake Titicaca has a surface elevation of 3,812 m (12,507 ft).[8][9] The ""highest navigable lake"" claim is generally considered to refer to commercial craft. Numerous smaller bodies of water around the world are at higher elevations.[10] For many years, the largest vessel afloat on the lake was the 2,200-ton (2,425 U.S. tons), 79 m (259 ft) SS Ollanta. Today, the largest vessel is most likely the similarly sized train barge/float Manco Capac, operated by PeruRail.
"
Mendoza,May 5,May 12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_hnUEWVOKmpXBNqvkozoAf4nEVl27BwqrLv_qYHF4cpkLxoLtDLLlV3dRLX4QECpGqemHmv1nyAEPPEMVp4Qh2DSIXqjK4AySd8IuzGA,712,2,20,29,70,"Mendoza may refer to:
"
Ushuaia,May 8,May 16,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSh2PlZlfkuXJhDDgexRhpBsp22svAliwrudSYGBXVE_nEoNOSevtWphGfuu10-jcfMmxVrUsBty_KKB6EZc48H3yK1x3wtNhitwtoBdAg,"1,051",2,42,45,96,"Ushuaia (/uːˈʃwaɪ.ə/ oo-SHWY-ə, Spanish: [uˈswaja]) is the capital of Tierra del Fuego, Antártida e Islas del Atlántico Sur Province, Argentina, and the southernmost city of the country. Ushuaia claims the title of world's southernmost city. Ushuaia is located in a wide bay on the southern coast of Isla Grande de Tierra del Fuego, bounded on the north by the Martial mountain range and on the south by the Beagle Channel. It is the only municipality in the Department of Ushuaia, which has an area of 9,390 km2 (3,625 sq mi). It was founded on October 12, 1884, by Augusto Lasserre and is located on the shores of the Beagle Channel surrounded by the mountain range of the Martial Glacier, in the Bay of Ushuaia. Besides being an administrative center, it is a light industrial port and tourist hub. Ushuaia is located roughly 1,100 kilometres (680 mi) from the coast of Antarctica.
"
Montevideo,Mar 11,Mar 17,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQmXuqTSBIlVOzuGrg3b6ECo580V8qTyc_by_YyxvcXaVEag2YII43BDsrGL_BQThHmAtBl9n8LRqTapnj0B6XboahaQiFkFE93hWRUMJg,702,2,43,45,44,"Montevideo (Spanish pronunciation: [monteβiˈðeo]) is the capital and largest city of Uruguay. According to the 2011 census, the city proper has a population of 1,319,108 (about one-third of the country's total population)[9] in an area of 201 square kilometers (78 sq mi). Montevideo is situated on the southern coast of the country, on the northeastern bank of the Río de la Plata.
"
Arequipa,Feb 27,Mar 6,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSo-BVAnhKtXo6_wIFL_SwuuMBoic1qup--LXKy-A0NYkPS13SOtmdTNWA8hDbTqVEE_AUfcXL-vOy3uRQsKuYySPDfKyrj6OCNeM8t2dE,431,3,31,5,44,"Arequipa (Spanish pronunciation: [aɾeˈkipa]; Aymara and Quechua: Ariqipa) is a city and capital of province and the eponymous department of Peru. It is the seat of the Constitutional Court of Peru and often dubbed the ""legal capital of Peru.""[1] It is the second most populated city in Peru, after Lima, with an urban population of 1,008,290 inhabitants according to the 2017 national census.[2]
"
San Carlos de Bariloche,Apr 22,Apr 29,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTlOBznXlqpP3ZhtnhvzM6pDESjiGUzMg_f0QFWXR32FYBFwI_2F90HVy0o4wyyA52oyYINJcoXY58AHhS9roRBiSbrxYexxDUZAP6RIO0,"1,046",2,38,5,88,"San Carlos de Bariloche, usually known as Bariloche (Spanish pronunciation: [baɾiˈlotʃe]), is a city in the province of Río Negro, Argentina, situated in the foothills of the Andes on the southern shores of Nahuel Huapi Lake. It is located within the Nahuel Huapi National Park. After development of extensive public works and Alpine-styled architecture, the city emerged in the 1930s and 1940s as a major tourism centre with skiing, trekking and mountaineering facilities. In addition, it has numerous restaurants, cafés, and chocolate shops. The city has a permanent population of 108,205 according to the 2010 census.[1] According to the latest statistics from 2015, the population is around 122,700, and a projection to 2020 dates to 135,704.[2]
"
Valparaíso,Feb 4,Feb 11,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvJ4kNJYnUXyW0rmUTWnwcVSTc0BAt0UhSQ2-8AKRDF7KeusMoKq34v_YcWEszXOMNIRHI1KxvCrBT0i94P8fKl10Fb6wyCT7fi3dqeuE,505,1,13,29,61,"Valparaíso played an important geopolitical role in the second half of the 19th century when the city served as a major stopover for ships traveling between the Atlantic and Pacific oceans by crossing the Straits of Magellan. Valparaíso experienced rapid growth during its golden age, as a magnet for European immigrants, when the city was known by international sailors as ""Little San Francisco"" and ""The Jewel of the Pacific"".[4] In 2003, the historic quarter of Valparaíso was declared a United Nations Educational, Scientific, and Cultural Organization (UNESCO) World Heritage Site.
"
Colca Canyon,Feb 27,Mar 6,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQUbOyvs7PGmZWwgESUHBfLV07-1zcR1f34IBc0olRa9d9gl7tdg_0GYmTzqkjvahCOnIAE7fczD_ie6v1uZUwEplM2EhRaYa05e_DC77Q,431,3,31,5,42,"The Colca Canyon is a canyon of the Colca River in southern Peru, located about 160 kilometres (99 mi) northwest of Arequipa. With a depth of about 1000 - 2000 m (3300 - 6600 ft) (whereas bottom is at cca 2000 m and edges are at 3000 - 4000 metres above the sea level), [1]  it is one of the deepest canyons in the world. Its length is about 70 kilometres (43 mi).[2] The Colca Valley is a colorful Andean valley with pre-Inca rooted inhabitants, and towns founded in Spanish colonial times, still inhabited by people of the Collagua and the Cabana cultures. The local people maintain their ancestral traditions and continue to cultivate the pre-Inca stepped terraces, called andenes.
"
Bonaire,Mar 3,Mar 9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqNmpJPqshdWZ69VyzY19nwghYhbXKjrtvWS7Vr9fOXbi-llnWozi3mzZe_mGbfOMR-sWhHmQZ7S-JJ7459Wamqsjkl1Msrqmxnd8Kp-Q,688,1,10,37,174,in the Caribbean
Nazca Lines,Mar 3,Mar 9,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQo_ou_YgWQMU4T3t6rYQRRA3R7tdHRj-RNPrvsvu3iMPjWiLSeLYlF6rkhEGw_f_7k8NxKGWSrqg1awdJureUEaG4DKggnjc30bgZQ8ss,300,2,22,15,74,"The Nazca Lines /ˈnæzkɑː/ are a group of very large geoglyphs made in the soil of the Nazca Desert in southern Peru.[1] They were created between 500 BC and AD 500 by people making depressions or shallow incisions in the desert floor, removing pebbles and leaving differently colored dirt exposed.[2] In the years leading up to 2020, between 80 and 100 new figures had been found with the use of drones, and archaeologists believe that there are more to be found.[3]
"
Salvador,May 6,May 12,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTkJoQdOmeYObvyKZncHt2g4TLgZsBVrZMmZ5gurT2JiOpVIQmkiFiI1y5Vc7T2Gz1XY64qSMvLBgkmMX00ZWcvy6gK9ajV3uuNrmvyXG4,606,3,46,40,35,"Salvador, meaning ""salvation"" (or ""saviour"") in Catalan, Spanish, and Portuguese may refer to:
"
Salta,Jan 28,Feb 3,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRCOLEKVdGQwZkQKPNTp0D7SysWJhPoUMTuw-SoRa4SLRJfoLhpP0Yjg_CPR3kedyN7sQBEgmhllgsh0vdoHnrweu04YwJVrQGQfRBlmHw,"1,252",2,25,32,65,"Salta was founded on April 16, 1582 by the Spanish conquistador Hernando de Lerma, who intended the settlement to be an outpost between Lima, Peru and Buenos Aires. The origin of the name Salta is a matter of conjecture, with several theories being advanced to explain it.
"
El Calafate,Feb 11,Feb 17,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRndYK3TzCITyYIDlMpM9TlFvOs1ks1CPl-0IiRq_6BK3mMNtrlL2-j_NbZOHpHM9KU5Wfsbs5GkEfIOXwuQboViMTctSF7-abgzUQfUoU,"1,185",2,37,5,85,"El Calafate is an important tourist destination as the hub to visit different parts of the Los Glaciares National Park, including Perito Moreno Glacier, Cerro Chaltén, and Cerro Torre.
"
Cuenca,Mar 10,Mar 17,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSLD6u7oPAHKamgi4iyFZXZduNy-YyZjaZVd-ORvXGBHWBDVLa05LYs0QVvrCOR_PxqsxWH8IXDLCh1Lgxzb0xEvMZJX0RaugVpoeCaxk0,446,2,64,2,56,"Cuenca may refer to:
"
Parque Nacional Natural Tayrona,Mar 7,Mar 14,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQcdqjqTe3f15MNwRtA_zAufuOSoezdeiFUlXwIVi8ml3SnEdO8Lo7WwOitDoiEqNS1eXrw0YRA-5Kujg0MNb4LDwwHewcAcrJiB3Kw5Pk,374,2,13,33,125,
Brasília,Feb 3,Feb 9,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSyP3PA_jJ0PnJqPHEN30zBu8FpCzNF2NQ6p13RmzAnrXZdODO-sqpECV-p1R_yiFYlKtctJTCflfsXDMTOmOykrLSShn4ZdI3pzCs0lyY,605,2,31,0,31,"Brasília (/brəˈzɪliə/;[3][4] Portuguese: [bɾaˈziljɐ]) is the federal capital of Brazil and seat of government of the Federal District. The city is located at the top of the Brazilian highlands in the country's Central-West region. It was founded by President Juscelino Kubitschek on 21 April 1960, to serve as the new national capital. Brasília is estimated to be Brazil's third-most populous city.[1] Among major Latin American cities, it has the highest GDP per capita.[5]
"
San Pedro de Atacama,Mar 21,Mar 27,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTd_hdwNbAvaD_gfrB1vDIb3rwPUwake6qJYARXMy4JezffsdBvWy6JVdrlMgFjzZ5nfdZqOoFFlhHFr9Z_vO8jmX67gMPYJuWxFEs1ov0,742,2,31,33,89,"San Pedro de Atacama is a Chilean town and commune in El Loa Province, Antofagasta Region. It is located east of Antofagasta, some 106 km (60 mi) southeast of Calama and the Chuquicamata copper mine, overlooking the Licancabur volcano.  It features a significant archeological museum, the R. P. Gustavo Le Paige Archaeological Museum, with a large collection of relics and artifacts from the region. Native ruins nearby attract increasing numbers of tourists interested in learning about pre-Columbian cultures.
"
Guayaquil,Feb 5,Feb 14,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRxBqw3UMqi_K4Ny3XHLIoahHw9ymkmaLnDNa6dSbcTla3Adfls9Qk67fNXxdp8f7ax4rQY8MV6MK6uW6nyoIC6sE9EPe5SPeMGhdjPcD8,207,2,21,24,39,"Guayaquil (Spanish pronunciation: [ɡwaʝaˈkil] (listen); Quechua: Wayakil), officially Santiago de Guayaquil, is the largest city in Ecuador and also the nation's main port. The city is the capital of Guayas Province and the seat of Guayaquil Canton.
"
Florianópolis,Apr 29,May 5,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT-rz7dAld3uT-pEjDHTGDr9G9hNs7ahzb2pB77ncH8bYkC_HHHMJO9HDJVx4sZ-nP57NjAQ69BtKm4QJtF7NU3vGDQeyYgBf5OAiAC6CQ,657,3,38,0,42,"Florianópolis (Portuguese pronunciation: [floɾi.aˈnɔpolis]) is the capital and second largest city of the state of Santa Catarina, in the South region of Brazil. The city encompasses Santa Catarina Island and surrounding small islands, as well as part of the mainland. It has a population of 508,826, according to the 2020 IBGE (Brazilian Institute of Geography and Statistics) population estimate, the second most populous city in the state (after Joinville), and the 47th in Brazil. The metropolitan area has an estimated population of 1,111,702, the 21st largest in the country. The city is known for having the country's third highest Human Development Index score among all Brazilian cities (0.847).[2][3]
"
Perito Moreno Glacier,Feb 11,Feb 17,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQwcl6GhfEjVerMLWIkUxjhVoXa9vrVim0TVNVImC2znXk1wHeoYo29eHlmnE0003vqjWHrW_CogIJ0ZqkgAar94GGthylo_hZKbhEDHY0,"1,185",2,37,5,192,"The Perito Moreno Glacier (Spanish: Glaciar Perito Moreno) is a glacier located in the Los Glaciares National Park in southwest Santa Cruz Province, Argentina. It is one of the most important tourist attractions in the Argentine Patagonia.
"
Cali,Mar 3,Mar 10,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQoX9JadxNVr0ZN3yIPdPLCnrLerZgSDayxG53jUzfNEIen8KeI3zGFEhsr2EsNox3XQKcANsELyx1Dxb0L95xyR6yHe-lXiVuxKePD8cE,248,1,13,35,38,"Santiago de Cali (Spanish pronunciation: [sanˈtjaɣo ðe ˈkali]), or Cali, is the capital of the Valle del Cauca department, and the most populous city in southwest Colombia, with 2,227,642 residents according to the 2018 census.[1] The city spans 560.3 km2 (216.3 sq mi) with 120.9 km2 (46.7 sq mi) of urban area,[2] making Cali the second-largest city in the country by area and the third most populous after Bogotá and Medellín. As the only major Colombian city with access to the Pacific Coast, Cali is the main urban and economic center in the south of the country, and has one of Colombia's fastest-growing economies.[3][4][5] The city was founded on 25 July 1536 by the Spanish explorer Sebastián de Belalcázar.
"
Puno,Jan 28,Feb 3,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRBI8n4lya_IzPmZQVcGRcXLwSPRunIxIXJ3GmGwazAoqypLmVveUa2Q4HD9OoPArwj3gIJl35pJ2Q8sTLMUBpfVjGRZvavQE-Q91LwAUk,560,1,32,45,37,"Puno is an important agricultural and livestock region; important livestock are llamas and alpacas, which graze on its immense plateaus and plains. Much of the city economy relies on the black market, fueled by cheap goods smuggled in from Bolivia. Puno is served by the Inca Manco Capac International Airport in nearby Juliaca.
"
Santa Marta,Mar 7,Mar 14,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQw6Des0Dzeh-YTCovP8JcM6ScV_LzS7mQ_TUexzTGwWqJSIJyymZt3m0h4zD__exdZGz5OINhBoqtdl5Exipv9X7QMcrdO9EEqwMgAj_s,374,2,13,33,31,"Before the arrival of Europeans, the South American continent was inhabited by a number of indigenous groups. Due to a combination of tropical weather, significant rainfall, and the destruction and misrepresentation of many records by Spanish conquistadors, our understanding of the peoples of this region is limited.
"
Virunga National Park,Feb 14,Feb 21,https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcQsK2eHdWQ7aZthcE2-DYidlhG72FEiuI58I7pFk5q7NMKQvyZGB69zx4GqKRnHY5x8FrioGOQKEGy7gQ1ZpmvVCQjGYkYeYX2ggJndcwE,"1,106",2,35,55,99,"Two active volcanoes are located in the park, Mount Nyiragongo and Nyamuragira.[5]
They have significantly shaped the national park's diverse habitats and wildlife. More than 3,000 faunal and floral species have been recorded, of which more than 300 are endemic to the Albertine Rift including eastern gorilla (Gorilla beringei) and golden monkey (Cercopithecus kandti).[6]
"
Luanda,Feb 28,Mar 6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8sYd_ietL5pWmob1-dYrUBhLuCfv5_3uokC0Exz43Ig6iqkv9-bT18iuhy9ZAYkVVKrxoqctN3z3yXZzfbFPGwiPZor2myGdqmZZ5DFw,"1,232",3,25,50,110,"Luanda (/luˈændə, -ˈɑːn-/)[4] is the capital and largest city in Angola. It is Angola's primary port, and its major industrial, cultural and urban centre. Located on Angola's northern Atlantic coast, Luanda is Angola's administrative centre, its chief seaport, and also the capital of the Luanda Province. Luanda and its metropolitan area is the most populous Portuguese-speaking capital city in the world and the most populous Lusophone city outside Brazil, with over 8.3 million inhabitants in 2020 (a third of Angola's population). 
"
Kinshasa,Mar 10,Mar 16,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT1UFY2h7vslSfiGtXstfZKi9qKfc8PO84iiw4Lu4_T1i7dwauYsllYbv14Br7vfrb26JnViGLz2DVTty1Kq_neUxo1es6sUw3X3QxBuUk,981,2,26,20,69,"Kinshasa (/kɪnˈʃɑːsə/; French: [kinʃasa]; Lingala: Kinsásá), formerly Léopoldville (Dutch: Leopoldstad), is the capital and the largest city of the Democratic Republic of the Congo. It is the largest city in Africa.
"
Douala,Mar 6,Mar 14,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR3SqIptORGkuJfR_biOFioB2gTlJfcNU9GEOYQuVTuuYCx1vXD8tvPI1SpJF84TeZalSRtc5JKqCw9CQFlEVgj6yh5heKde09vx8yfN9c,892,1,21,10,88,"The first Europeans to visit the area were the Portuguese in about 1472. At the time, the estuary of Wouri River was known as the Rio dos Camarões (Shrimp River). By 1650, it had become the site of a town formed by immigrants, said to have arrived from Congo, who spoke the Duala language. During the 18th century it was the center of the transatlantic slave trade.
"
Yaoundé,Mar 6,Mar 14,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRKjMjVEYEr4f29lpI9CtW8Kjuim2J_y_VJ1lrahP9Db5H-uypCSqDFBuiPzcj9UQ_OUw0AyUt5LYOQ0M2cjQG-JvEalKR56iFgh_V8-90,892,1,21,10,70,"The earliest inhabitants of Cameroon were likely the Bakas (pygmies). They still inhabit the forests of the south and east provinces. Bantu speakers originating in the Cameroonian highlands were among the first groups to move out before other invaders. During the late 1770s and early 1800s, the Fulani—a pastoral Islamic people of the western Sahel—conquered most of what is now northern Cameroon, subjugating or displacing its largely non-Muslim inhabitants.
"
Brazzaville,Jan 28,Feb 3,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSYYFndR3LmWCI_4zZ8dhjZrqu47_pYC0Wf4rdTk5NI4haEgtbNgXLnIXhBDA5FW7Jq531pdSKUYmZns8SxSUSnLbTbnO0z876VPPWSxP0,"2,298",2,23,20,70,"Brazzaville (French pronunciation: ​[bʁazavil], Kongo: Kintamo, Nkuna, Kintambo, Mavula, Tandala; Teke: M'fa, Mfwa, Mfa, Mfua, Mfoa[3][4][5][6]) is the capital and largest city of the Republic of the Congo (Congo Republic). Constituting the financial and administrative centre of the country, it is located on the north side of the Congo River, opposite Kinshasa, the capital city of the Democratic Republic of the Congo (DR Congo). 
"
Libreville,Apr 15,Apr 22,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR5MKNaT5Lao5WSwgmEWBwcFhW4DisTMSmm7jO2Jn-wYfxDZULcqhOigO-9Ozn_seSdJUmTGE784aF8Sxxadh3JjApd9bZi-UAqqzJYgBE,"1,158",2,23,35,110,"Libreville is the capital and largest city of Gabon. Occupying 65 square kilometres (25 sq mi) in the northwestern province of Estuaire, Libreville is a port on the Komo River, near the Gulf of Guinea. As of the 2013 census, its population was 703,904.[2]
"
N'Djamena,Apr 3,Apr 12,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRbu3LryNmO_Zmt9xZvU2MnOsFGHZZB-4Cy5kU55-Gm5ukLcNQbhC2GUxbsTjs24YTngXHNMYzMG9F-iUISaokkQnA_AuqRe47y_tmOqLA,965,2,39,20,170,"It is a regional market for livestock, salt, dates, and grains. Meat, fish and cotton processing are the chief industries, and the city continues to serve as the centre of economic activity in Chad.
"
São Tomé,Jan 28,Feb 4,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRPh5-7FqX7sJ8LEUtX4_PwTnR6St4xGQetZEvsp33ndZ5oD65t8BPqr11GsjfhrfEYYuHe39hyYe6-BdEqGfBP5O6k31t_ef1cuP_Se9g,"1,988",3,25,30,58,"Álvaro Caminha founded the colony of São Tomé in 1493. The Portuguese came to São Tomé in search of land to grow sugarcane. The island was uninhabited before the arrival of the Portuguese sometime around 1470. São Tomé, situated about 40 kilometres (25 mi) north of the equator, had a climate wet enough to grow sugarcane in wild abundance. 2,000 Jewish children, eight years old and under, were taken from the Iberian peninsula for work on the sugar plantations.[2] The nearby African Kingdom of Kongo eventually became a source of slave labor as well.  The island of São Tomé was the main center of sugar production in the sixteenth century; it was overtaken by Brazil by 1600.[3]
"
